Respondent_ID,Age,Gender,Occupation,Monthly_Income_USD,Smartphone_Budget_USD,Replacement_Cycle_Years,Online_Shopping_Frequency,Brand_Loyalty,Camera_Importance,Gaming_Importance,Battery_Importance,AI_Feature_Interest,Design_Importance,Price_Sensitivity,Social_Media_Usage,Mobile_Gaming,Mobile_Photography
1,19,Male,Employee,750,614,1.6,7,2,3,5,4,5,4,2,5,5,5
2,26,Female,Student,959,801,1.8,7,3,4,4,4,5,5,3,5,4,5
3,22,Male,Employee,1049,563,2.5,10,4,4,4,3,4,5,3,5,5,2
4,21,Male,Employee,784,732,2.1,9,3,5,4,3,5,4,2,4,5,5
5,22,Male,Employee,557,617,2.3,9,3,4,5,4,5,4,1,5,5,4
6,20,Male,Employee,1098,719,2.4,10,1,5,5,5,5,3,3,5,4,3
7,24,Female,Employee,1041,628,2.5,7,3,4,5,3,5,4,2,5,5,4
8,22,Male,Student,1140,652,2.3,8,4,5,4,4,5,4,2,5,5,4
9,22,Male,Student,746,949,2.1,7,4,5,5,4,5,4,1,5,5,5
10,24,Male,Student,819,704,2.5,9,2,5,5,4,4,5,2,5,5,5
11,21,Male,Student,838,536,2.0,9,3,4,5,5,4,4,3,4,5,4
12,24,Female,Employee,920,739,2.4,7,2,2,5,4,4,5,2,5,4,4
13,22,Female,Student,577,726,2.3,7,5,5,5,2,5,4,3,5,5,5
14,18,Male,Employee,502,699,1.8,10,3,5,5,3,4,4,2,5,5,5
15,18,Female,Student,551,799,2.0,8,4,4,5,4,5,5,1,5,4,4
16,18,Male,Employee,1173,798,2.1,9,3,4,5,3,4,5,2,5,5,4
17,25,Male,Student,1050,609,2.0,8,4,4,5,4,5,5,2,4,5,4
18,18,Female,Student,637,635,1.6,7,3,4,5,4,4,5,3,4,5,5
19,18,Male,Employee,783,522,1.5,8,3,4,5,3,5,4,4,5,5,4
20,23,Male,Employee,630,521,1.8,7,3,4,5,4,5,3,1,5,5,5
21,20,Male,Employee,525,591,2.2,9,3,3,4,3,5,5,2,4,5,4
22,21,Female,Employee,812,920,2.3,8,3,5,4,4,5,5,2,5,4,3
23,23,Male,Student,767,591,2.1,9,4,4,4,5,3,5,3,5,5,4
24,24,Male,Student,872,720,1.6,9,2,3,5,5,4,4,2,5,4,4
25,24,Male,Employee,915,780,2.3,9,3,5,4,4,4,4,2,5,5,3
26,20,Male,Employee,1027,839,2.1,9,4,5,5,5,5,4,4,5,4,3
27,25,Female,Student,893,753,1.9,8,3,4,5,3,5,5,3,5,5,4
28,21,Male,Employee,636,910,2.0,9,4,4,4,3,3,4,1,4,5,3
29,22,Male,Employee,1033,748,2.1,9,2,5,5,5,5,4,3,5,5,5
30,24,Female,Employee,1055,738,1.9,8,3,4,5,2,5,4,2,4,5,4
31,24,Female,Student,999,612,1.8,10,4,4,4,3,5,5,3,5,5,4
32,27,Male,Student,1158,719,1.6,10,3,5,4,5,4,5,2,5,4,5
33,25,Male,Student,858,614,2.2,7,3,2,5,4,5,5,2,4,5,5
34,23,Male,Student,667,993,1.8,7,4,4,5,4,5,4,1,4,5,5
35,22,Male,Student,855,772,1.9,9,4,5,5,4,4,4,1,5,4,4
36,20,Female,Employee,976,723,2.3,9,3,5,5,4,4,5,1,4,4,5
37,23,Male,Employee,717,681,2.3,9,3,5,5,3,4,4,2,5,4,4
38,25,Female,Employee,517,547,1.8,10,3,4,4,4,4,4,2,4,5,4
39,22,Male,Student,697,661,1.6,8,3,5,5,5,5,3,4,5,5,5
40,22,Male,Student,780,523,2.5,9,3,4,5,3,5,4,2,5,5,4
41,25,Male,Student,910,751,1.6,7,4,5,5,4,5,5,1,5,4,3
42,24,Female,Employee,804,940,2.1,10,3,5,4,3,5,4,3,5,5,5
43,19,Male,Student,918,730,2.2,10,3,5,5,3,4,5,3,4,4,3
44,21,Female,Student,1057,615,2.1,9,3,4,5,5,5,3,2,5,4,3
45,22,Female,Employee,582,806,1.5,10,3,3,5,4,4,3,2,5,5,3
46,27,Male,Student,981,765,2.2,9,3,5,4,3,5,5,2,5,5,4
47,25,Female,Employee,1063,518,2.0,9,3,5,5,3,5,4,3,4,5,4
48,27,Female,Employee,552,604,1.8,8,4,4,5,4,5,4,2,5,4,4
49,19,Male,Student,972,984,1.6,8,2,4,4,4,5,3,2,5,4,5
50,26,Male,Student,782,895,2.3,10,2,5,5,4,4,3,1,4,5,4
51,25,Female,Employee,1065,890,2.0,10,4,4,5,4,4,5,2,5,3,4
52,24,Female,Student,1007,993,1.5,9,4,3,4,4,4,5,1,5,5,5
53,22,Female,Employee,1165,541,2.4,10,4,4,5,3,4,4,2,5,5,5
54,19,Female,Student,1148,860,2.4,10,3,5,5,4,5,5,2,5,4,5
55,20,Male,Student,580,812,2.4,8,2,4,5,5,4,5,3,4,5,5
56,19,Female,Employee,1101,653,2.1,10,3,3,4,5,5,4,2,5,4,5
57,18,Female,Employee,508,789,2.4,7,4,4,5,3,5,4,2,4,5,5
58,20,Male,Student,816,903,1.9,9,3,4,4,5,5,5,1,4,3,4
59,20,Female,Employee,802,882,2.4,7,3,4,5,3,4,3,1,5,5,4
60,24,Male,Employee,1049,563,2.0,9,2,4,5,4,5,4,3,4,5,4
61,19,Female,Employee,1164,709,1.6,7,4,4,4,4,5,4,1,5,5,3
62,24,Male,Employee,1170,550,2.3,10,4,4,5,4,4,4,1,5,4,5
63,23,Male,Employee,782,597,2.5,10,3,4,4,3,5,4,4,5,5,5
64,26,Male,Student,738,668,2.3,7,3,5,5,4,5,4,3,5,4,5
65,27,Female,Student,678,635,1.6,10,2,4,4,4,4,4,1,5,5,5
66,26,Female,Employee,1158,993,1.5,10,3,4,5,5,3,5,2,5,5,5
67,27,Female,Employee,1111,771,1.8,10,4,5,5,3,5,3,2,5,5,5
68,25,Female,Employee,597,660,1.9,9,3,4,5,4,5,4,3,5,5,3
69,27,Female,Student,920,681,2.4,10,4,3,5,4,4,5,3,5,5,5
70,26,Female,Student,785,793,1.7,10,4,3,5,3,5,4,3,4,5,5
71,22,Female,Employee,506,592,2.4,10,4,5,5,4,4,4,2,5,5,5
72,27,Male,Student,659,580,2.3,7,3,4,4,3,4,4,2,4,4,4
73,27,Female,Employee,546,612,1.9,7,4,4,5,4,5,5,3,5,5,5
74,21,Female,Student,906,941,2.2,10,5,4,5,3,4,4,2,5,5,4
75,27,Female,Employee,590,723,2.3,8,2,4,5,5,5,4,2,5,4,4
76,21,Female,Employee,1160,917,1.6,7,3,5,4,3,4,4,2,4,5,3
77,25,Female,Employee,654,725,1.6,10,2,3,4,4,5,5,3,5,5,5
78,19,Female,Employee,1094,783,2.5,7,2,5,4,3,4,4,3,5,5,4
79,19,Male,Student,753,862,1.9,10,2,4,4,5,4,5,2,5,4,4
80,23,Male,Employee,790,629,2.2,8,3,5,5,5,5,4,2,5,5,4
81,21,Female,Student,666,245,3.5,10,3,4,3,4,3,5,4,5,5,5
82,19,Male,Student,401,231,3.3,10,3,2,4,4,3,3,5,5,4,2
83,24,Male,Student,619,404,2.6,8,2,3,3,4,3,3,4,4,4,2
84,24,Male,Student,438,405,3.2,8,2,2,3,4,3,4,5,4,3,3
85,18,Male,Student,395,222,3.6,8,2,4,4,4,4,3,5,3,3,4
86,20,Male,Student,447,221,3.1,6,2,4,3,3,3,4,5,4,4,2
